scenario_id,model,basis,stratum,n,dm_median_used,slope_shap_per_lignin,pearson_r_lignin_shap,p,slope_se,low_minus_high_slope
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,all,127,33.7,-0.9807133560884471,-0.7246557202434526,5.964844221682058e-22,0.08341508457489709,-0.39984502964814683
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,low_DM,64,33.7,-1.1917234082325971,-0.7415572982354273,2.403362493370608e-12,0.13692600329026086,-0.39984502964814683
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,high_DM,63,33.7,-0.7918783785844503,-0.7540884676654174,9.712131437426915e-13,0.08830523755034754,-0.39984502964814683
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,all,1270,33.7,-0.9384575317647709,-0.8090018756088624,6.775678323965886e-295,0.01914871029755819,-0.22018266871232095
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,low_DM,640,33.7,-1.0548563350396256,-0.8143684960935499,6.630021073127282e-153,0.02976121115795159,-0.22018266871232095
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,high_DM,630,33.7,-0.8346736663273047,-0.8220977737693007,9.204385508523906e-156,0.023066937983642958,-0.22018266871232095
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,all,127,33.7,-1.409542236024267,-0.735996281127891,6.387348840461984e-23,0.11596498732654666,-0.3711207485815231
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,low_DM,64,33.7,-1.6088204609152472,-0.7369418272761099,3.854523019775031e-12,0.18741185772457394,-0.3711207485815231
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,high_DM,63,33.7,-1.2376997123337241,-0.7679475534658677,2.0686323381140522e-13,0.13217416511351793,-0.3711207485815231
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,all,1270,33.7,-1.3985973833436267,-0.7463707134044922,1.7946971134965853e-226,0.03502244117965965,-0.2561767914637949
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,low_DM,640,33.7,-1.5368829083267943,-0.7413043916604559,1.404575838157253e-112,0.05508910848898901,-0.2561767914637949
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,high_DM,630,33.7,-1.2807061168629994,-0.7710418259747017,3.330590944280509e-125,0.042206973320927,-0.2561767914637949
A_BMP_VS_all_features,RandomForest,full_data_apparent,all,127,33.7,-1.2619346333170378,-0.7622808011054547,2.247915684672017e-25,0.09583773811706474,-0.19316219942426227
A_BMP_VS_all_features,RandomForest,full_data_apparent,low_DM,64,33.7,-1.3687875388326345,-0.7530543572507719,7.086422742664675e-13,0.15188407738330306,-0.19316219942426227
A_BMP_VS_all_features,RandomForest,full_data_apparent,high_DM,63,33.7,-1.1756253394083722,-0.7942554348352735,8.008907825772811e-15,0.11514634225494975,-0.19316219942426227
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,all,1270,33.7,-1.1521374880546047,-0.7857310588611595,8.596744571038624e-267,0.025471727409903448,-0.14943572969167462
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,low_DM,640,33.7,-1.2325333978202333,-0.7766166464414115,3.769759756376209e-130,0.039582564518434574,-0.14943572969167462
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,high_DM,630,33.7,-1.0830976681285587,-0.8061440843503496,3.0526695009996e-145,0.03172421271628033,-0.14943572969167462
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,all,127,33.7,-1.1645248140813576,-0.6949577951103211,1.2647254999866848e-19,0.10776921513073844,-0.10672229145234646
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,low_DM,64,33.7,-1.234517069138683,-0.7029821261099284,9.421625550577895e-11,0.15861830653576395,-0.10672229145234646
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,high_DM,63,33.7,-1.1277947776863366,-0.7243599213819827,1.9457770120094936e-11,0.13743453945130793,-0.10672229145234646
B_BMP_DM_no_DM_VS,ExtraTrees,outer_fold_heldout,all,1270,33.7,-1.1674013859714416,-0.7749023961731737,6.9274115981186695e-255,0.026741529771043354,0.043958092269985816
B_BMP_DM_no_DM_VS,ExtraTrees,outer_fold_heldout,low_DM,640,33.7,-1.1509754196707325,-0.7549696507216369,5.059024179555793e-119,0.03957955988839375,0.043958092269985816
B_BMP_DM_no_DM_VS,ExtraTrees,outer_fold_heldout,high_DM,630,33.7,-1.1949335119407183,-0.8020853065674132,1.013323010004516e-142,0.035503408584437214,0.043958092269985816
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,all,127,33.7,-1.8166245034835387,-0.7474611164142326,5.9204250800609664e-24,0.14440739864648278,-0.0015656587036487757
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,low_DM,64,33.7,-1.8401863602581143,-0.7479970795920935,1.2224615211972372e-12,0.20736678696051805,-0.0015656587036487757
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,high_DM,63,33.7,-1.8386207015544656,-0.7826815820203279,3.538718007581035e-14,0.18720923567236591,-0.0015656587036487757
B_BMP_DM_no_DM_VS,GradientBoosting,outer_fold_heldout,all,1270,33.7,-1.7226549822313233,-0.7525546292426828,2.674018877793365e-232,0.04233271229733,0.07759010278389655
B_BMP_DM_no_DM_VS,GradientBoosting,outer_fold_heldout,low_DM,640,33.7,-1.6929906602473062,-0.7378968012757166,4.9104281656717315e-111,0.06130512011222397,0.07759010278389655
B_BMP_DM_no_DM_VS,GradientBoosting,outer_fold_heldout,high_DM,630,33.7,-1.7705807630312027,-0.7754223195581953,1.6696637242516813e-127,0.05753495207013858,0.07759010278389655
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,all,127,33.7,-1.6532330701161777,-0.7557303723261114,9.821407814320191e-25,0.12813738217045334,0.06804460285588387
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,low_DM,64,33.7,-1.6322797855123476,-0.7547012667894109,5.916730674496809e-13,0.1802075266684765,0.06804460285588387
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,high_DM,63,33.7,-1.7003243883682315,-0.7734446101187835,1.0871922899381352e-13,0.17841594434269592,0.06804460285588387
B_BMP_DM_no_DM_VS,RandomForest,outer_fold_heldout,all,1270,33.7,-1.338082895501804,-0.7821675952896889,8.468575274745778e-263,0.029933609397641996,0.09799780998933572
B_BMP_DM_no_DM_VS,RandomForest,outer_fold_heldout,low_DM,640,33.7,-1.2933121443630344,-0.7584812595272534,9.531736206462406e-121,0.04399389878370464,0.09799780998933572
B_BMP_DM_no_DM_VS,RandomForest,outer_fold_heldout,high_DM,630,33.7,-1.3913099543523701,-0.8093198578790665,2.951489558502461e-147,0.04029343405844493,0.09799780998933572
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,all,127,33.7,-1.2099274798152362,-0.7797436323857011,3.458252673203626e-27,0.08689513402397982,-0.2433855463304222
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,low_DM,64,33.7,-1.340553794270959,-0.7827789066844376,2.1584743801384374e-14,0.13534712287714312,-0.2433855463304222
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,high_DM,63,33.7,-1.097168247940537,-0.7948241269713684,7.426968734141227e-15,0.10725347345125229,-0.2433855463304222
C_BMP_DM_all_features,ExtraTrees,outer_fold_heldout,all,1270,33.7,-1.1361296633124935,-0.8417449643658771,0.0,0.02046356333000916,-0.10535673827533465
C_BMP_DM_all_features,ExtraTrees,outer_fold_heldout,low_DM,640,33.7,-1.1937291020760918,-0.8353661170421917,5.947923906381433e-168,0.031098507881829586,-0.10535673827533465
C_BMP_DM_all_features,ExtraTrees,outer_fold_heldout,high_DM,630,33.7,-1.0883723638007572,-0.8556041352486231,9.437349744925237e-182,0.02627512873859743,-0.10535673827533465
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,all,127,33.7,-1.658044360745359,-0.7988566532967459,2.2626576686044654e-29,0.11166662675428513,-0.16319026605114906
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,low_DM,64,33.7,-1.7523153614602747,-0.7885739635971358,1.0250410260201077e-14,0.1735428302211705,-0.16319026605114906
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,high_DM,63,33.7,-1.5891250954091256,-0.8279709041466459,5.784860678376295e-17,0.1378045908251095,-0.16319026605114906
C_BMP_DM_all_features,GradientBoosting,outer_fold_heldout,all,1270,33.7,-1.6475939644008482,-0.8020611188754428,4.0224973890275094e-286,0.03445350545338543,-0.09292678324738124
C_BMP_DM_all_features,GradientBoosting,outer_fold_heldout,low_DM,640,33.7,-1.703288857873536,-0.7845925662659088,1.4302702171833443e-134,0.053288520204645744,-0.09292678324738124
C_BMP_DM_all_features,GradientBoosting,outer_fold_heldout,high_DM,630,33.7,-1.6103620746261547,-0.8314341738120721,2.017242835100058e-162,0.042943384023402864,-0.09292678324738124
C_BMP_DM_all_features,RandomForest,full_data_apparent,all,127,33.7,-1.5904781187463994,-0.7875485471275636,4.721896284407818e-28,0.11131511334670903,-0.3425520011867622
C_BMP_DM_all_features,RandomForest,full_data_apparent,low_DM,64,33.7,-1.7747380775502484,-0.7938302881833726,5.111638367388409e-15,0.17266879796195225,-0.3425520011867622
C_BMP_DM_all_features,RandomForest,full_data_apparent,high_DM,63,33.7,-1.4321860763634862,-0.8018762942946066,2.85635306626169e-15,0.1366337103852445,-0.3425520011867622
C_BMP_DM_all_features,RandomForest,outer_fold_heldout,all,1270,33.7,-1.3543755813598957,-0.8031387217553827,1.842559580838707e-287,0.028215233161947142,-0.09994126688515914
C_BMP_DM_all_features,RandomForest,outer_fold_heldout,low_DM,640,33.7,-1.4088105121543317,-0.7786859567951046,2.799555464310142e-131,0.04494009912554282,-0.09994126688515914
C_BMP_DM_all_features,RandomForest,outer_fold_heldout,high_DM,630,33.7,-1.3088692452691726,-0.8370268856241795,1.3074880874176917e-166,0.03414229983770914,-0.09994126688515914
